"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30"
"1" NA NA NA NA NA NA NA NA NA NA NA 129.581373405403 128.475777559131 128.832927330195 160.627971803678 126.993405688011 99.6720734065973 103.015014109138 110.999114375134 NA NA NA NA NA NA NA NA NA NA NA
"2" NA NA NA NA NA NA NA NA 79.5139306652521 80.7075206096228 163.661922132369 109.360753171567 108.900853520806 131.982408279568 119.482633548399 124.46143809733 108.806404507971 123.40023701107 138.527277201107 116.100439892878 125.327645828108 101.964976577079 NA NA NA NA NA NA NA NA
"3" NA NA NA NA NA NA NA 112.294814492331 98.4922518184607 125.294518826515 111.394795026348 125.732049325637 136.077034979597 172.623829099003 138.242304204795 133.302361163973 116.257041779136 121.535453200708 114.55841127383 138.527940569131 128.952058467539 144.685444487201 95.192034234177 NA NA NA NA NA NA NA
"4" NA NA NA NA NA 92.4580014148355 98.9074306351774 144.917804209768 107.551577779008 178.746102289794 105.857725100366 99.6797160308064 124.303106831172 104.850462407251 105.013335294038 128.897686928307 118.76764150843 122.554805256357 122.110921952805 127.870912171563 158.261588843227 103.844724246634 91.1257517794921 96.503860233883 98.0370913370674 NA NA NA NA NA
"5" NA NA NA NA 118.46850639427 199.648930986794 132.842759980192 124.081444135332 127.44100590718 118.191150082265 135.846088087334 142.500109250144 129.307125914946 107.809179746447 148.088787461509 114.53297711494 121.467527818138 104.010410374638 126.326542918144 147.718739934606 164.167048720437 121.68506361817 120.286986503439 101.363276971949 128.650429344749 130.372839141324 NA NA NA NA
"6" NA NA NA NA 85.1060326629856 149.239887107284 112.104417833939 132.856554829945 141.81146363296 124.501756601008 120.671410892878 130.715662789513 135.367911461529 109.693459777447 121.867730597497 125.311904773974 127.032854896053 139.181250074369 116.80099467216 122.429015635331 90.7648088938287 109.774964852458 132.197345618111 132.699394362881 133.098253678202 76.5430933588297 142.291879564978 NA NA NA
"7" NA NA NA 140.283940627935 72.7943666607889 93.9220308701078 160.470501363599 111.562889275891 120.684849249289 116.594050073968 143.371386120929 120.659615493275 109.264467867226 126.236511246918 119.209070504421 127.795038982344 115.735246592702 116.025465305932 115.308722638546 109.190150310645 133.239857000008 120.268960879872 143.946756230759 116.047507391675 122.541335094413 117.487075550961 72.7943666283596 NA NA NA
"8" NA NA 103.493615066126 136.269998741865 160.173529420512 129.516846318555 150.510133810252 93.3677545053543 123.695909734279 130.076867365583 143.807254915223 120.572016795889 125.674200663189 124.40121936146 116.001406937696 132.350746509617 120.751402107423 124.300350495615 130.055993559393 122.864904373293 134.278840293415 106.258244270099 90.8637429023642 114.368552623752 157.256095409811 75.6071315352504 72.7943657644513 83.4915694315362 NA NA
"9" NA 102.68714846385 120.19202598999 97.7724054355243 94.8971031817872 105.169560414459 137.151887813665 113.709583998641 116.137434795095 135.481888461576 135.141234443615 128.661453363502 121.957098354525 131.803155043908 118.531817644235 133.295616516957 123.715832679928 123.361014980239 144.869989010573 130.473409182943 133.657674291309 122.973903312263 118.80209496723 148.161281440767 129.604292706739 72.7943607833431 153.739489043377 79.1719614835041 116.255990079137 NA
"10" NA 223.548479946876 93.2644516903099 96.6157613058339 72.9930195804483 144.213477099226 128.543118043318 120.453648053673 141.379508123639 141.607698319733 117.257448356537 133.629047927488 130.478269984699 137.307269571138 122.29629433988 123.572227814741 109.226872651735 130.032956953235 132.937403638988 106.599482571596 155.532893608232 130.887628427981 94.6576765229448 135.353232178484 103.764661047365 162.473983738263 129.055208942584 89.2690549605031 73.5788207966738 NA
