"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30"
"1" NA NA NA NA NA NA NA NA NA NA NA 4.9668046595565e-09 3.91410799399218e-09 7.7859910576605e-09 6.37135261917118e-09 1.25991247986673e-08 7.18169938715681e-09 7.25888666739369e-09 4.70499869522352e-09 NA NA NA NA NA NA NA NA NA NA NA
"2" NA NA NA NA NA NA NA NA 1.2503965984276e-09 1.60452996070852e-09 4.61164608922947e-09 5.93244489064858e-09 8.1729090055686e-09 9.14066228675129e-09 9.35850405155954e-09 2.49376464075417e-08 9.06303063103368e-09 7.27258066810789e-09 7.17050539105130e-09 9.366195041361e-09 4.92900842761606e-09 1.63048750427081e-09 NA NA NA NA NA NA NA NA
"3" NA NA NA NA NA NA NA 2.55105329776749e-09 3.31832997416864e-09 2.72906233715319e-09 4.00567729330691e-09 8.73759503427739e-09 1.16193779787819e-08 1.1512367267853e-08 1.20805556962952e-08 1.01030004886754e-08 1.86641202352192e-08 1.8928235676954e-08 6.84171802840651e-09 3.48717467777659e-09 1.39530765184056e-09 2.4676552807775e-09 1.40942148355372e-09 NA NA NA NA NA NA NA
"4" NA NA NA NA NA 8.53890396711941e-10 2.41672571862733e-09 1.19945864386474e-09 2.0161871954075e-09 2.92931050518706e-09 7.39770231094983e-09 6.33533889485465e-09 7.70813603495021e-09 1.36746903410648e-08 1.91791180993782e-08 2.28697869388501e-08 1.99222251041065e-08 9.11186259553248e-09 7.9613276170031e-09 4.32717417322499e-09 4.47909311161861e-09 6.70099523504425e-09 3.06019685680603e-09 1.79011827934376e-09 1.06921912405165e-09 NA NA NA NA NA
"5" NA NA NA NA 8.89755961814374e-10 7.93663782377684e-10 1.07840597008861e-09 2.0025703788501e-09 3.82769063910951e-09 2.6297249952708e-09 4.36267550980375e-09 5.19269405816184e-09 1.49777587014488e-08 1.89138216420489e-08 1.90773467114712e-08 2.2503758895884e-08 1.97144270398201e-08 8.72340332957512e-09 1.06746492126131e-08 8.91148093053066e-09 7.15283921031554e-09 1.85043911954889e-09 2.3532426054826e-09 2.44066178397182e-09 1.01089851411771e-09 1.37946512202504e-09 NA NA NA NA
"6" NA NA NA 1.48155799570508e-09 0 3.06358242455986e-10 1.94158329996694e-09 1.7362758604522e-10 3.64909156012349e-09 2.09472232019085e-09 3.25399503087956e-09 8.43997031960448e-09 1.51966364773585e-08 1.17983699141395e-08 2.407468799267e-08 2.55366075988344e-08 1.76889824424803e-08 1.33691572543989e-08 1.2306564815745e-08 5.17874205364993e-09 9.11442412193845e-09 3.19664350224322e-09 1.57345257313068e-09 7.15071625086934e-10 1.35191043058881e-09 1.34614378756329e-09 4.04681752062129e-10 NA NA NA
"7" NA NA NA 5.9106996080293e-10 1.66685782698009e-09 1.70973584018403e-09 7.55654062751072e-10 2.28146164574761e-09 3.61031589020352e-09 3.01534125934935e-09 5.17702094194424e-09 9.00808117087322e-09 1.61689300519646e-08 1.7766148606872e-08 3.38263008592968e-08 2.42118511079471e-08 3.38246484220786e-08 1.07361260531264e-08 9.78383080261006e-09 6.88991086285102e-09 1.72770899917514e-09 3.04382326888314e-09 2.04930614747746e-09 1.1393474579138e-09 1.83191079632794e-09 6.99363267939249e-10 3.91347856971023e-10 NA NA NA
"8" NA NA 8.73861227981373e-10 5.15706021328198e-10 1.73662132099716e-09 1.82194192356535e-09 2.07856019103164e-09 3.73566276056525e-09 2.11828703236704e-09 7.5174226593332e-09 8.79006648205134e-09 1.14373560920006e-08 1.68047247714427e-08 2.09002013146548e-08 2.39240756853514e-08 5.97974077694684e-08 2.34470712463272e-08 1.3775269252874e-08 1.18824936405275e-08 6.17506654162686e-09 1.95682345964009e-09 3.31261340261501e-09 3.98074773991135e-09 2.02762546471051e-09 1.06089945542389e-09 8.0635494269525e-10 1.38807430583572e-09 0 NA NA
"9" NA 1.98953048218898e-10 2.62898497565251e-10 1.43595656139599e-09 4.62698366377007e-10 1.02345928300365e-09 2.28661057793701e-09 5.15625298134178e-09 3.91320062973067e-09 3.67169258679799e-09 6.08711896418227e-09 8.42631834982244e-09 1.90352876810133e-08 2.65741660112774e-08 2.78831904974375e-08 5.14813567165602e-08 3.44485995033789e-08 1.32843839889278e-08 1.20320937009955e-08 7.11346217299402e-09 5.05316364174275e-09 1.24506924744802e-09 1.64539356834381e-09 7.17565862439856e-10 1.69935862004632e-09 6.88448826097071e-10 6.92463643400414e-10 9.1909253626528e-10 2.66416645137318e-10 NA
"10" NA 8.59832452598019e-10 0 1.12421904110428e-09 9.60142968999812e-10 4.12222356063731e-10 1.02925627488628e-09 2.37772013491307e-09 4.47938808127086e-09 8.34045356861909e-09 6.69104375287156e-09 1.80968893502433e-08 1.54010643992736e-08 2.11077867853654e-08 2.86025614915024e-08 3.57463425466768e-08 3.02007763832737e-08 1.56434793274013e-08 1.57257716076955e-08 7.61564620570482e-09 7.39489799057089e-09 2.7917060785669e-09 1.7963881319838e-09 1.93206553381757e-09 3.33870975526605e-10 2.02840463122424e-09 2.53067497208086e-10 0 0 NA
