"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30"
"1" NA NA NA NA NA NA NA NA NA NA NA 41.0802619028594 16.4062638195596 81.4770247939067 21.2033684904893 87.5364917859977 -41.4202909375322 -16.1154898175114 1.0053615718645 NA NA NA NA NA NA NA NA NA NA NA
"2" NA NA NA NA NA NA NA NA 56.8421742033889 -95.873401265886 0.191407262883198 46.0574840751352 35.0880526065474 37.1282184860055 37.3851267630146 96.4297412229091 -17.2848464027807 -22.7329096347292 -97.9226022066928 47.2438226866526 -86.9513935263514 -44.1650572935152 NA NA NA NA NA NA NA NA
"3" NA NA NA NA NA NA NA -100.519631019342 -68.9734688205097 31.138349498258 3.07485194589358 -10.1970378747508 10.0665203413675 -19.8814604477759 53.6353624002486 49.5419307796011 -0.470789472685853 -18.6558650795399 -64.0698893348234 -63.2264816156089 -34.2135509083501 -58.7447752713961 61.9534631313487 NA NA NA NA NA NA NA
"4" NA NA NA NA NA -80.1149761437799 -19.1921632288031 17.0359719492526 -36.8616073799103 -14.7770908023238 23.2801954253832 -55.0045362284335 -34.4757089088035 80.2541291913111 30.3742344279211 95.7178602721239 -4.34224017874695 -12.6608619239142 -64.0834668599273 -66.2675211348267 -71.007165437082 -75.7405872504414 -48.1531430618995 27.4759213042796 -77.5822142573582 NA NA NA NA NA
"5" NA NA NA NA -115.398811607194 -18.8697323773691 -16.4151658496878 -47.737623027549 -17.5176611772819 -48.3976655741172 -25.2084820313889 -34.9478644213146 36.4994582289161 -28.5905016393112 50.0077223568636 69.008508485886 14.7604106344396 0.0580844126402362 -18.1646640283419 -65.8925546728581 -2.04357798507591 -80.8623146011913 -33.6615824602024 -40.3719620064245 -61.7207666135671 42.2518774109768 NA NA NA NA
"6" NA NA NA -91.5307533428644 -35.1420867739025 -25.9929579387108 -10.4501269886959 -39.9619300833653 -63.8263041848777 -4.08448926727761 -29.9689846111065 -75.6901845774671 35.609255426157 -14.1536377318402 45.6476236053806 42.9054439691764 -1.12658308107615 -42.540610494301 0.0695752905196819 -68.6750050344839 4.86647564394135 -36.9074232308885 -14.1951666019716 -63.2978401009302 -69.4932128024194 -49.419410519613 -47.4825292494797 NA NA NA
"7" NA NA NA -19.0955255724535 -64.0660898101718 -66.6218798903102 2.48484036859404 12.6182512637974 -53.9169439838422 26.2720774949885 -32.0041671595157 -9.54986923046642 -22.7448687350894 -9.48368812921425 54.1261133322398 47.2974024755724 -41.9286659516299 -10.605395546041 -43.3673978418487 -77.5808295722299 -54.0813393027043 -61.191935421646 17.6372352757058 -80.3516331863812 -32.8906015447106 -29.3037158451522 -25.258691984571 NA NA NA
"8" NA NA -49.8860236137777 14.3331581370865 10.0668043850756 -8.71854678629465 -13.5282684635465 -58.227621572339 -46.7100401925607 -7.05246984942915 -61.1276610140918 -62.703064100652 -32.8348472375174 -3.58256720497855 50.8067211756519 44.2431829994194 11.4918909312252 -20.0126561346809 28.9056475472957 -24.7315632826507 -74.2586935181133 -11.9357769611704 -48.2560106641585 -128.418736363692 -58.4717229032857 34.3877792655935 -11.6906844106717 16.0746736943841 NA NA
"9" NA 160.249741594291 -77.0158350761463 -0.44216695828478 -7.66910515733013 -31.8563780398807 -64.7280595082262 -6.53762836365733 -26.4438247477054 -1.73307395670081 -6.51519712336338 -0.713140701974002 -9.87681010773346 35.3452543044789 -0.133917398243763 23.8591102677407 4.60379895534514 -22.6411827415474 -39.4684823574538 -1.46632437426345 -45.4579665009666 6.95228785706165 -50.6212037904428 -19.4161852246299 -55.3757643583382 -82.9335401021782 -50.8584937096612 -11.3969614852137 14.4411803313665 NA
"10" NA -5.95924245874921 -68.5482273787251 -55.0771820424014 29.0590499444797 -16.8689471209205 -55.7049337758431 -20.6242125572853 -44.446426154591 -11.2692935600172 -28.2599054048123 -47.1263410403638 -9.28180487118126 -26.1490254663591 -23.7436869289829 17.9846641680133 29.7440035772478 -10.2059481405895 -35.2510138847398 -3.71492222379513 1.87691791012335 4.50414375887922 -38.1665129576866 -41.0000218210635 -57.984131686776 -23.2760933597134 39.5433626816201 -99.2596927726497 -7.50930997021537 NA
